session_id,turn,start,ttft_ms,total_ms,output_chars,output_tokens,status,backend
22,0,330389.499898,240.744122012984,3910.6,475,37,200,
2,0,330391.352427,271.5615219785832,3464.4,392,33,200,
7,0,330393.970274,252.326209039893,3202.6,367,30,200,
18,0,330401.373710,301.407803024631,1989.2,210,18,200,
24,0,330401.208885,232.38264000974596,3202.2,343,31,200,
23,0,330404.912175,228.64185000071302,1912.4,188,18,200,
4,0,330406.635587,319.6178060024977,3150.3,309,29,200,
14,0,330406.729988,321.7620749492198,3288.7,356,31,200,
5,0,330409.696847,320.7798689836636,3650.5,421,35,200,
6,0,330413.564556,224.68462702818215,3505.4,428,34,200,
23,1,330416.542454,331.63970900932327,1539.1,205,13,200,
29,0,330414.521906,271.49171696510166,4086.6,468,39,200,
22,1,330416.898423,401.6857050010003,3855.8,457,35,200,
17,0,330417.368978,942.1270379680209,5672.5,561,48,200,
4,1,330419.791201,256.4378219540231,3775.9,398,36,200,
10,0,330421.670775,289.4528500037268,2129.1,179,19,200,
24,1,330423.556689,339.9171359487809,3219.6,330,30,200,
15,0,330423.198882,267.0264160260558,4378.9,350,41,200,
14,1,330424.186929,339.5389019860886,4194.6,438,40,200,
2,1,330427.016529,788.3511440013535,4011.8,469,33,200,
3,0,330426.495338,505.619058967568,5540.1,602,52,200,
25,0,330430.288724,253.02961800480261,4316.8,473,42,200,
13,0,330430.912820,340.7504089991562,3983.7,427,38,200,
20,0,330435.801326,231.60230502253398,3903.9,399,37,200,
31,0,330436.279924,271.96400199318305,4463.0,478,41,200,
29,1,330437.287557,334.1029930161312,3983.6,419,37,200,
8,0,330437.596334,2347.8763609891757,5405.3,340,31,200,
27,0,330440.912719,590.6702990178019,4152.7,512,37,200,
16,0,330438.163518,2804.908104997594,7000.3,516,43,200,
8,1,330446.376162,336.68980200309306,2522.0,285,23,200,
25,1,330445.476290,230.75695504667237,4317.9,448,42,200,
5,1,330447.801300,311.7752379621379,3614.5,382,33,200,
10,1,330450.954379,264.30720096686855,1923.3,176,18,200,
7,1,330450.621574,268.42506299726665,2745.3,344,26,200,
24,2,330455.912503,288.23818801902235,2444.7,309,23,200,
27,1,330454.097252,241.52102100197226,4582.4,526,45,200,
29,2,330456.874328,322.730029001832,3450.5,442,33,200,
0,0,330458.381243,296.64600000251085,3030.8,344,29,200,
7,2,330460.662574,271.2612340110354,3010.5,340,29,200,
17,1,330462.952889,331.30426896968856,5325.0,620,52,200,
21,0,330465.880774,328.03268800489604,3962.0,367,37,200,
27,2,330466.117717,319.48249402921647,4316.9,530,40,200,
0,1,330466.462449,2042.205898964312,5330.1,451,34,200,
16,1,330472.615395,228.20655995747074,3756.6,420,35,200,
6,1,330481.178588,287.34614700078964,1951.3,186,18,200,
11,0,330479.760286,225.4263929789886,3465.6,458,34,200,
19,0,330485.270099,229.07938197022304,1868.2,239,18,200,
12,0,330488.959104,228.98365900618955,1334.2,152,11,200,
10,2,330489.291552,316.9852099963464,1578.2,203,14,200,
23,2,330492.711471,260.69931901292875,1028.9,174,9,200,
0,2,330490.843679,241.61715497029945,3378.5,403,33,200,
31,1,330492.671783,300.89726101141423,4761.7,504,47,200,
19,1,330496.931607,308.3808940136805,2390.9,294,21,200,
15,1,330497.479656,279.61028803838417,3601.1,470,35,200,
5,2,330501.688300,239.78299903683364,3012.6,343,29,200,
31,2,330501.868610,292.47575905174017,3978.5,460,38,200,
8,2,330505.256678,256.74655195325613,2353.1,242,22,200,
30,0,330505.532676,310.6483970186673,3427.8,400,33,200,
10,3,330511.404872,231.3772399793379,2952.6,345,29,200,
