session_id,turn,start,ttft_ms,total_ms,output_chars,output_tokens,status,backend
2,0,330918.219553,241.83693301165476,2310.6,251,21,200,
7,0,330918.547020,330.7587839663029,4041.3,482,38,200,
22,0,330917.987661,247.5110860541463,4750.0,570,45,200,
24,0,330919.452944,1305.5260420078412,4848.1,434,35,200,
23,0,330919.917194,3053.354284958914,4912.3,227,19,200,
18,0,330919.474114,3397.1709680045024,6039.0,402,26,200,
4,0,330920.133687,4394.08152498072,5830.7,156,13,200,
14,0,330920.145751,4942.506567982491,7966.3,300,29,200,
6,0,330921.001214,5219.482545973733,7841.4,412,26,200,
5,0,330920.517312,5244.796427024994,9764.7,490,44,200,
29,0,330921.122246,7233.658504032064,9495.7,403,23,200,
23,1,330921.375461,7704.308481013868,11668.2,407,40,200,
22,1,330921.420599,9094.115403015167,12896.5,431,39,200,
4,1,330921.782921,11487.172528984956,13345.5,225,20,200,
17,0,330921.480211,9377.096879004966,13648.7,499,43,200,
10,0,330922.018470,12522.321215015836,15184.1,338,28,200,
24,1,330922.254570,13101.377539045643,16444.8,439,35,200,
15,0,330922.209732,13145.746021997184,16817.7,419,38,200,
3,0,330922.622240,16305.317258986179,17323.6,117,10,200,
2,1,330922.687857,16570.58491196949,18960.4,283,25,200,
14,1,330922.333584,15096.85863001505,19839.0,482,48,200,
25,0,330923.096828,17078.885272028856,21065.9,512,41,200,
13,0,330923.175832,18707.590180973057,21704.2,367,31,200,
20,0,330923.787878,18615.4828669969,21614.2,336,31,200,
31,0,330923.847885,20542.726240004413,24420.0,509,39,200,
29,1,330923.974815,21132.433372025844,25008.5,520,40,200,
8,0,330924.014028,21619.02745300904,24970.0,443,35,200,
27,0,330924.429945,24782.362342986744,27594.3,404,28,200,
16,0,330924.085394,24408.2681859727,28098.7,395,37,200,
25,1,330925.000731,24211.066433985252,28731.7,461,44,200,
8,1,330925.113952,27223.854868032504,29771.5,306,25,200,
5,1,330925.292838,27144.308701041155,30424.5,329,32,200,
7,1,330925.645870,28328.877352993004,32423.8,408,41,200,
10,1,330925.688079,29431.25310103642,32924.0,410,35,200,
27,1,330926.081126,29871.51836400153,33077.9,397,32,200,
24,2,330926.309336,31995.989276038017,34506.2,313,25,200,
29,2,330926.430363,32414.893556036986,35514.8,421,30,200,
0,0,330926.619507,32778.43663300155,35660.7,379,29,200,
17,1,330927.192202,34983.077031967696,37121.4,241,20,200,
7,2,330926.904946,34142.70758401835,38900.1,495,43,200,
21,0,330927.558752,34971.86597000109,38829.3,404,35,200,
27,2,330927.588692,36968.58510700986,41334.9,471,39,200,
0,1,330927.632798,38437.854290998075,41944.9,402,33,200,
16,1,330928.402471,38231.40490602236,43446.8,579,49,200,
11,0,330929.295807,39860.402773017995,43675.6,430,37,200,
6,1,330929.474166,40363.422363996506,43631.5,411,32,200,
12,0,330930.447341,42788.653782976326,43999.3,174,13,200,
19,0,330929.986188,42087.59149600519,45082.3,402,30,200,
10,2,330930.489117,42845.738845993765,46477.4,405,36,200,
23,2,330930.918317,,46285.8,0,0,200,
0,2,330930.683985,43990.73782400228,47535.3,395,36,200,
31,1,330930.913309,44381.07789499918,47313.3,370,30,200,
19,1,330931.447882,45977.935419010464,47927.2,228,20,200,
5,2,330932.044572,46399.358304042835,50245.9,488,39,200,
31,2,330932.068354,47525.23592900252,51258.8,428,38,200,
15,1,330931.516800,46927.53798700869,52338.0,553,54,200,
10,3,330933.261383,50815.80016401131,53285.9,277,26,200,
30,0,330932.526897,51024.57305602729,54169.4,335,32,200,
8,2,330932.491874,50020.50967904506,54474.2,480,43,200,
25,2,330934.485759,52727.6359340176,55555.2,332,29,200,
27,3,330933.339171,53500.480527000036,57133.1,479,36,200,
12,1,330934.173507,52783.384091977496,56429.6,382,35,200,
14,2,330935.996147,54878.21190804243,56815.5,207,19,200,
23,3,330935.818431,54445.33097796375,57614.6,291,30,200,
28,0,330935.963157,54790.55461194366,58108.7,482,32,200,
1,0,330936.013641,57013.067572028376,60781.3,399,38,200,
14,3,330936.236439,57419.6894710185,61472.6,356,40,200,
0,3,330936.458636,57830.48675704049,61582.2,479,38,200,
4,2,330937.034434,61225.509882031474,62118.6,157,10,200,
2,2,330936.543143,61385.89208002668,62746.4,159,14,200,
3,1,330936.477206,60531.630859011784,62944.8,247,23,200,
17,2,330937.215414,62193.44653602457,65574.4,395,35,200,
13,1,330937.492630,62049.22742501367,65625.5,371,37,200,
30,1,330937.687547,61953.41537398053,65664.3,421,38,200,
30,2,330937.759045,65246.816712024156,68706.8,446,34,200,
27,4,330938.197360,65381.86862098519,69087.8,437,37,200,
12,2,330938.171818,65165.93359794933,69349.8,432,41,200,
26,0,330938.307830,68369.43066102685,69844.0,177,15,200,
3,2,330938.465496,69042.06722701201,70111.7,92,11,200,
6,2,330938.746353,68992.26930201985,73118.5,508,42,200,
21,1,330938.762825,69605.1184440148,73934.7,489,44,200,
6,3,330939.166365,69635.69899898721,74176.1,468,46,200,
12,3,330939.238418,72851.97406599764,76358.6,395,34,200,
8,3,330939.430884,73484.38548104605,76503.1,376,29,200,
4,3,330939.723815,76103.18000603002,77994.0,163,18,200,
17,3,330939.568089,73977.61493897997,78165.3,463,40,200,
