session_id,turn,start,ttft_ms,total_ms,output_chars,output_tokens,status,backend
22,0,334730.097234,229.79244799353182,5187.2,355,59,200,
2,0,334731.949506,280.8655119733885,4991.8,315,56,200,
7,0,334734.566732,294.20900699915364,4553.8,363,52,200,
24,0,334741.802346,205.58013999834657,3439.5,216,38,200,
18,0,334741.967192,242.39226302597672,5645.7,380,63,200,
23,0,334745.504839,265.22025401936844,4223.9,321,46,200,
4,0,334747.227922,296.93676595343277,5465.8,365,61,200,
14,0,334747.322719,289.26776599837467,6791.4,443,77,200,
5,0,334750.289852,222.09063998889178,6572.5,424,75,200,
23,1,334757.135910,,262.8,0,0,200,
6,0,334754.157176,238.21417096769437,6313.1,451,70,200,
22,1,334757.491753,285.62725498341024,4205.9,273,45,200,
29,0,334755.115818,233.50546596338972,6745.1,429,75,200,
17,0,334757.962641,280.8404460083693,7235.2,466,80,200,
4,1,334760.383605,290.43865302810445,5827.2,354,64,200,
24,1,334764.149189,248.83466301253065,3097.9,179,33,200,
10,0,334762.263146,218.14077702583745,6704.0,436,75,200,
15,0,334763.791921,230.8225539745763,6444.3,438,72,200,
3,0,334767.088500,237.7975289709866,5312.8,373,59,200,
14,1,334764.779543,245.26609998429194,7707.0,517,87,200,
2,1,334767.609518,257.42699997499585,5383.3,363,60,200,
13,0,334771.505121,221.5090619865805,5913.5,367,67,200,
25,0,334770.880596,224.40266801277176,6538.2,447,74,200,
20,0,334776.393041,231.76458000671118,4319.2,261,47,200,
31,0,334776.872140,292.73181303869933,5727.1,389,63,200,
27,0,334781.507345,246.21313298121095,2349.8,177,25,200,
29,1,334777.879974,241.52025202056393,6227.4,443,70,200,
8,0,334778.190083,218.78963499329984,6421.0,452,73,200,
16,0,334778.757448,273.6665139673278,6016.8,408,68,200,
25,1,334786.071935,212.74693094892427,5916.6,377,66,200,
5,1,334788.396751,236.65621603140607,5858.4,375,66,200,
8,1,334786.971431,263.79637100035325,8665.5,598,98,200,
7,1,334791.217345,227.20997501164675,5256.7,355,59,200,
27,1,334794.692096,268.22911301860586,3036.9,205,32,200,
10,1,334791.550091,268.60014599515125,6682.5,464,75,200,
24,2,334796.507206,254.6189510030672,4439.2,302,49,200,
0,0,334798.976428,302.92780202580616,5706.8,415,64,200,
29,2,334797.469117,259.05354594578966,7464.5,491,85,200,
7,2,334801.257544,299.0668839775026,4774.2,356,53,200,
27,2,334806.714456,303.99614601628855,2695.9,185,28,200,
17,1,334803.549028,299.5923269772902,7972.0,519,90,200,
0,1,334807.059726,248.9519280497916,5705.8,419,65,200,
21,0,334806.477051,245.69312698440626,7905.0,457,90,200,
16,1,334813.210603,244.12088200915605,5761.6,417,65,200,
11,0,334820.355197,236.46070394897833,6548.2,446,72,200,
6,1,334821.772957,269.9200449860655,6454.6,447,72,200,
19,0,334825.862393,289.9048069957644,4888.9,315,55,200,
23,2,334833.301485,,261.9,0,0,200,
12,0,334829.549605,241.93991802167147,5343.4,365,60,200,
10,2,334829.881872,280.0645179813728,6835.9,467,78,200,
0,2,334831.432734,262.72783702006564,5699.0,385,65,200,
31,1,334833.261781,300.862092000898,6015.1,425,68,200,
19,1,334837.521401,217.37609698902816,4486.7,330,51,200,
15,1,334838.069651,288.8841640087776,5908.8,409,67,200,
5,2,334842.277646,252.10225698538125,5748.0,384,65,200,
31,2,334842.457407,275.7392760249786,7235.3,523,83,200,
30,0,334846.120521,247.64073203550652,5475.7,375,63,200,
8,2,334845.844369,238.36704896530136,7507.4,527,87,200,
10,3,334851.990324,280.1352739916183,6520.2,475,77,200,
