session_id,turn,start,ttft_ms,total_ms,output_chars,output_tokens,output_chunks,status,backend
22,0,2552938.697121,134.12469904869795,1400.5,287,56,55,200,
7,0,2552939.070781,109.85114192590117,1176.3,296,48,47,200,
2,0,2552938.852178,108.29226486384869,1394.9,326,57,56,200,
23,0,2552939.984152,113.39409975335002,828.3,200,31,30,200,
24,0,2552939.674495,190.8975262194872,1636.4,393,64,63,200,
14,0,2552940.137099,109.83458766713738,1274.7,231,49,48,200,
18,0,2552939.689031,177.56403796374798,1878.3,409,70,69,200,
4,0,2552940.128575,118.27236087992787,1576.1,357,59,58,200,
23,1,2552940.957767,111.08791781589389,917.2,207,32,31,200,
6,0,2552940.709155,188.9399839565158,1303.1,287,43,42,200,
29,0,2552940.789165,110.17239233478904,1342.2,299,45,44,200,
5,0,2552940.385350,109.85186276957393,1952.9,337,69,68,200,
4,1,2552941.229171,440.72384806349874,1331.6,174,33,32,200,
22,1,2552940.987830,509.3559850938618,1743.7,285,46,45,200,
17,0,2552941.027171,470.89357301592827,1962.4,320,56,55,200,
14,1,2552941.597477,636.2485000863671,1597.5,209,41,40,200,
3,0,2552941.790018,649.599205236882,1818.9,309,53,52,200,
10,0,2552941.386123,420.3672776930034,2329.4,414,76,75,200,
24,1,2552941.544362,570.3343898057938,2171.2,356,66,65,200,
20,0,2552942.567959,729.1680942289531,1319.5,163,27,26,200,
2,1,2552941.833977,828.6582031287253,2295.0,369,62,61,200,
15,0,2552941.514368,463.3203907869756,2751.2,510,90,89,200,
25,0,2552942.107628,726.3518096879125,2261.5,334,61,60,200,
13,0,2552942.160539,930.9569853357971,2364.9,313,56,55,200,
31,0,2552942.608371,1106.985831167549,2313.0,309,47,46,200,
16,0,2552942.768785,1221.315436065197,2324.4,258,45,44,200,
27,0,2552942.999829,1231.8184520117939,2195.8,213,36,35,200,
25,1,2552943.380792,1073.71937436983,1901.7,150,34,33,200,
29,1,2552942.693445,1124.906836077571,2761.1,358,60,59,200,
8,1,2552943.455919,1000.0730440951884,2205.0,313,47,46,200,
5,1,2552943.575340,1052.9524609446526,2222.7,257,45,44,200,
8,0,2552942.720036,1098.3839826658368,3078.1,399,72,71,200,
7,1,2552943.810888,1213.275267276913,2245.4,207,37,36,200,
27,1,2552944.101262,1181.1340400017798,2334.5,296,48,47,200,
29,2,2552944.333823,1223.2658569701016,2343.4,296,50,49,200,
10,1,2552943.839297,1441.4064222946763,2992.1,387,64,63,200,
24,2,2552944.252928,1131.3873883336782,2679.8,348,62,61,200,
7,2,2552944.650997,1249.2657098919153,2420.5,291,49,48,200,
0,0,2552944.460098,1303.3228749409318,2712.9,324,54,53,200,
17,1,2552944.842328,1057.9977510496974,2504.7,369,57,56,200,
27,2,2552945.107351,1430.845260154456,2497.5,224,39,38,200,
21,0,2552945.086559,1071.8052866868675,2813.3,359,70,69,200,
0,1,2552945.136269,1643.3033728972077,2866.4,264,43,42,200,
16,1,2552945.649593,1368.2964919134974,2493.2,229,43,42,200,
11,0,2552946.245667,773.6466038040817,2087.6,305,49,48,200,
19,0,2552946.705440,555.0164389424026,1854.8,323,52,51,200,
6,1,2552946.363872,895.1960150152445,2298.8,309,54,53,200,
23,2,2552947.327849,918.7016850337386,1682.2,195,33,32,200,
12,0,2552947.013032,436.31453812122345,2100.0,357,64,63,200,
31,1,2552947.323801,767.2489057295024,1946.7,303,45,44,200,
19,1,2552947.680229,758.497844915837,1782.8,214,40,39,200,
10,2,2552947.041240,668.59364323318,2543.4,409,69,68,200,
0,2,2552947.170770,918.2776822708547,2552.6,372,60,59,200,
5,2,2552948.077956,672.3890961147845,1922.4,278,49,48,200,
8,2,2552948.375530,825.8045041002333,1919.3,250,44,43,200,
31,2,2552948.093233,1106.6291886381805,2304.8,291,51,50,200,
30,0,2552948.398847,977.6063039898872,2116.4,311,51,50,200,
15,1,2552947.726225,1022.6393821649253,2839.2,514,79,78,200,
27,3,2552948.940175,748.675778042525,1641.7,284,45,44,200,
12,1,2552949.496251,330.91801404953003,1085.7,225,41,40,200,
10,3,2552948.888537,679.0278339758515,2313.7,401,64,63,200,
25,2,2552949.704980,399.5927241630852,1616.2,267,48,47,200,
23,3,2552950.594163,194.85500315204263,1004.0,173,29,28,200,
