session_id,turn,start,ttft_ms,total_ms,output_chars,output_tokens,status,backend
22,0,2557787.243161,180.57601479813457,4241.4,366,64,200,
2,0,2557789.094996,204.83524026349187,3863.4,349,59,200,
7,0,2557791.712464,244.38679264858365,4693.5,430,75,200,
18,0,2557799.111965,239.31521456688643,3207.8,327,51,200,
24,0,2557798.946618,172.48531617224216,4058.7,380,65,200,
23,0,2557802.649398,184.6221387386322,4151.9,455,68,200,
4,0,2557804.372329,236.51508800685406,3269.5,288,51,200,
14,0,2557804.467193,196.37161120772362,3679.3,380,59,200,
5,0,2557807.433895,207.1750550530851,5093.8,405,79,200,
6,0,2557811.300934,186.49069592356682,4496.6,449,69,200,
29,0,2557812.258518,206.53179287910461,3887.8,357,60,200,
17,0,2557815.106380,198.74717574566603,3167.9,318,50,200,
22,1,2557814.635364,204.7105641104281,3767.2,363,59,200,
23,1,2557814.278318,193.82860185578465,5158.0,556,83,200,
4,1,2557817.526723,174.0840575657785,3097.2,291,49,200,
10,0,2557819.406295,170.23640405386686,4272.3,367,65,200,
15,0,2557820.935363,223.8232297822833,3959.4,333,57,200,
24,1,2557821.292869,223.287854809314,3713.3,356,54,200,
14,1,2557821.923353,191.69337302446365,4211.9,363,64,200,
3,0,2557824.233609,195.5463420599699,4389.4,389,70,200,
2,1,2557824.755158,193.66119941696525,4078.2,400,65,200,
13,0,2557828.651114,181.5147022716701,3896.7,379,63,200,
25,0,2557828.026552,193.9974008128047,5067.3,478,82,200,
20,0,2557833.539976,174.63388619944453,3739.1,346,51,200,
31,0,2557834.019561,245.482481084764,5265.5,473,73,200,
29,1,2557835.027329,219.0073998644948,4515.3,388,63,200,
8,0,2557835.336691,222.97569597139955,5824.0,528,85,200,
16,0,2557835.905200,226.4104438945651,5311.8,457,78,200,
27,0,2557838.655275,240.97699439153075,2863.6,268,42,200,
8,1,2557844.119222,183.3821921609342,2839.7,268,42,200,
25,1,2557843.219910,182.78364976868033,5178.1,467,81,200,
5,1,2557845.544933,222.05562004819512,5360.9,438,82,200,
10,1,2557848.698603,238.2056531496346,4527.9,389,70,200,
7,1,2557848.365042,190.9392480738461,5145.0,478,80,200,
27,1,2557851.840960,188.84538812562823,2917.1,278,45,200,
24,2,2557853.657046,221.7466989532113,4013.1,397,63,200,
29,2,2557854.619230,194.8506971821189,4287.4,394,69,200,
0,0,2557856.126467,191.99106935411692,5144.7,488,81,200,
7,2,2557858.407776,239.778951741755,4526.4,409,67,200,
17,1,2557860.698283,255.83063531666994,3962.9,334,58,200,
27,2,2557863.863864,237.26837802678347,3322.3,305,48,200,
21,0,2557863.626609,185.66460628062487,4862.8,398,73,200,
0,1,2557864.209360,256.48842565715313,4493.4,407,68,200,
16,1,2557870.362348,172.88243863731623,4701.9,479,80,200,
11,0,2557877.508584,173.80620818585157,4340.8,413,69,200,
6,1,2557878.926677,249.75285911932588,4747.9,369,65,200,
19,0,2557883.016746,254.061636980623,3509.9,299,51,200,
12,0,2557886.703481,175.55123288184404,4297.9,359,66,200,
10,2,2557887.036027,229.07461831346154,4615.9,396,71,200,
0,2,2557888.587416,220.56386014446616,4503.7,439,69,200,
23,2,2557890.455203,182.07645695656538,5841.2,534,85,200,
31,1,2557890.414993,223.342705052346,6117.8,496,89,200,
19,1,2557894.675036,202.5879048742354,3961.4,356,55,200,
15,1,2557895.223379,278.3947279676795,3530.1,305,49,200,
31,2,2557899.612808,216.23283112421632,4629.7,425,68,200,
5,2,2557899.432841,176.74184078350663,5737.0,460,86,200,
30,0,2557903.275230,192.2170207835734,4428.1,409,70,200,
8,2,2557902.999852,191.53071427717805,4767.8,478,75,200,
10,3,2557909.147174,218.52142084389925,6235.8,475,79,200,
