session_id,turn,start,ttft_ms,total_ms,output_chars,output_tokens,status,backend
2,0,2558178.707042,234.80752436444163,4516.6,356,61,200,
23,0,2558180.404224,214.118632953614,3433.5,295,47,200,
22,0,2558178.474555,182.8056899830699,5733.8,453,79,200,
24,0,2558179.939289,236.4943982101977,5121.5,402,70,200,
14,0,2558180.632646,221.4568229392171,4538.6,371,62,200,
4,0,2558180.620288,233.3457050845027,4712.3,381,64,200,
18,0,2558179.960958,214.90595024079084,5371.8,448,73,200,
7,0,2558179.034681,219.36957072466612,6924.4,526,95,200,
6,0,2558181.488590,233.38720109313726,4796.8,406,65,200,
29,0,2558181.609187,1787.471640855074,4786.6,268,41,200,
23,1,2558181.863139,2145.800764672458,5679.1,322,49,200,
5,0,2558181.003790,226.4207168482244,6710.9,525,92,200,
15,0,2558182.700530,2798.9542461000383,5827.6,260,43,200,
22,1,2558181.907932,2479.972230270505,7495.2,416,71,200,
2,1,2558183.180253,4533.0432443879545,6436.1,157,28,200,
4,1,2558182.273188,3058.9912799187005,7660.0,419,65,200,
3,0,2558183.114907,3457.7925871126354,7003.0,279,51,200,
10,0,2558182.509185,2990.1983602903783,7608.8,352,65,200,
17,0,2558181.969996,3302.462018094957,8258.1,389,69,200,
14,1,2558182.825097,3678.601259831339,7977.8,335,61,200,
24,1,2558182.746054,3389.526454731822,8162.2,379,66,200,
20,0,2558184.281959,5275.6112716160715,8564.1,301,47,200,
13,0,2558183.669137,5042.0420547015965,9775.6,420,69,200,
25,0,2558183.590172,4291.670732665807,10164.7,465,85,200,
31,0,2558184.342508,5458.381810691208,10201.3,441,68,200,
8,1,2558185.608995,5458.877124357969,9320.8,349,58,200,
8,0,2558184.508555,5829.128392972052,10421.5,394,68,200,
16,0,2558184.579760,5758.503305260092,10730.8,433,73,200,
25,1,2558185.495754,5511.089449748397,10263.3,391,70,200,
27,0,2558184.924869,5480.772315058857,11017.5,553,80,200,
29,1,2558184.468982,5648.345891851932,12059.3,509,91,200,
5,1,2558185.787440,7221.238092985004,11560.2,347,60,200,
29,2,2558186.925446,8177.763267885894,11271.5,269,42,200,
24,2,2558186.803083,8299.738849047571,11655.3,262,45,200,
27,1,2558186.575349,8118.554966989905,12209.3,322,55,200,
7,1,2558186.140120,7473.069022875279,14252.5,535,93,200,
0,0,2558187.114103,8374.319056980312,13922.8,471,76,200,
17,1,2558187.687373,8434.875808190554,13534.4,385,70,200,
10,1,2558186.181952,7757.073461078107,15290.2,571,103,200,
21,0,2558188.054507,8657.374870963395,13796.2,429,70,200,
27,2,2558188.084875,9448.31186113879,14649.1,465,72,200,
0,1,2558188.128548,10252.548282034695,14832.6,390,63,200,
12,0,2558190.945767,10458.964918274432,12207.0,137,24,200,
7,2,2558187.400443,8538.32676075399,16226.6,659,104,200,
11,0,2558189.793586,9167.406609747559,13833.6,342,64,200,
16,1,2558188.898299,9739.463353063911,15798.8,488,83,200,
19,0,2558190.483657,10737.390144262463,14928.4,344,57,200,
15,1,2558192.014469,11796.365825925022,13689.5,152,27,200,
10,2,2558190.988127,10660.994581878185,14715.9,348,56,200,
6,1,2558189.971584,10597.117349971086,15953.9,428,73,200,
0,2,2558191.182424,10848.896348848939,15352.9,382,63,200,
31,1,2558191.411707,11476.612369995564,15427.3,286,54,200,
23,2,2558191.417025,11735.260223969817,16265.2,398,64,200,
19,1,2558191.945265,11398.658553138375,16462.1,435,72,200,
10,3,2558193.757246,12105.562375858426,16150.6,373,61,200,
31,2,2558192.564011,12311.827878002077,17623.2,480,79,200,
30,0,2558193.023120,12839.50068242848,17491.8,417,70,200,
5,2,2558192.541146,11270.238038152456,17974.0,556,99,200,
23,3,2558196.317726,11543.766083195806,14605.6,302,47,200,
12,1,2558194.670390,12037.93624509126,16363.8,360,65,200,
27,3,2558193.836297,12254.671522881836,17771.2,482,82,200,
8,2,2558192.988227,12592.405885923654,19100.2,561,96,200,
28,0,2558196.461997,12114.150564651936,16705.2,420,69,200,
2,2,2558197.043966,14167.625549249351,16281.6,172,31,200,
25,2,2558194.984294,12025.530525948852,18919.8,552,103,200,
0,3,2558196.958716,13708.601511083543,17053.8,311,48,200,
14,2,2558196.495345,13574.257669970393,17832.5,321,61,200,
1,0,2558196.512690,13832.975154742599,18203.2,261,62,200,
3,1,2558196.977504,14166.302021127194,17908.7,298,53,200,
14,3,2558196.735281,13931.561751291156,18427.8,357,63,200,
4,2,2558197.535485,14242.63643892482,19165.7,433,72,200,
13,1,2558197.993961,15330.825807992369,19414.6,375,60,200,
17,2,2558197.716500,14531.304549891502,20123.0,448,82,200,
3,2,2558198.964172,16079.804482869804,19216.8,294,48,200,
30,2,2558198.258762,15864.209172781557,20447.5,410,68,200,
27,4,2558198.696435,15811.536603141576,20194.7,424,65,200,
30,1,2558198.188620,15289.02639914304,21873.0,584,96,200,
26,0,2558198.806358,16076.274606399238,21756.6,484,84,200,
6,2,2558199.244823,16075.936720706522,21679.2,492,83,200,
12,2,2558198.671245,15522.820039652288,22683.2,604,104,200,
21,1,2558199.261184,17586.25188935548,23230.3,445,82,200,
6,3,2558199.664616,17917.935189791024,23331.9,442,78,200,
17,3,2558200.068129,18821.291971951723,23349.4,365,65,200,
8,3,2558199.930411,18399.85481929034,23777.7,447,77,200,
12,3,2558199.737101,18268.810140900314,23971.2,488,82,200,
4,3,2558200.223747,18845.0146606192,23681.9,417,69,200,
15,2,2558201.253383,19843.226436059922,22762.0,246,41,200,
6,4,2558200.370964,19862.997878342867,24339.8,380,63,200,
0,4,2558200.384645,20348.178423941135,25252.0,423,71,200,
10,4,2558202.048507,21122.75671819225,25033.7,353,59,200,
3,3,2558202.435502,21755.429598037153,24756.1,307,47,200,
31,3,2558201.300549,20221.463601104915,26073.3,468,86,200,
31,4,2558202.330783,21573.383186012506,25402.1,342,57,200,
3,4,2558202.652614,22221.55178990215,25190.8,281,45,200,
25,3,2558201.465965,21200.828589033335,27015.1,419,85,200,
3,5,2558202.999181,22809.2125877738,25653.4,263,42,200,
18,1,2558202.373740,21749.68886282295,26450.6,430,70,200,
29,3,2558202.245767,21657.448158133775,26578.7,430,72,200,
15,3,2558203.907049,24100.772524252534,25452.3,125,20,200,
24,3,2558202.167927,21416.054210159928,27595.4,437,90,200,
2,3,2558204.254355,24569.15016286075,26674.3,188,32,200,
10,5,2558203.188238,24184.3712371774,29311.4,474,76,200,
4,4,2558203.680795,24265.113716945052,28819.1,422,69,200,
30,3,2558203.012686,24294.337591622025,29743.6,476,79,200,
15,4,2558204.037383,24614.581059198827,28883.9,384,61,200,
5,3,2558203.203065,24338.981674984097,30472.4,472,84,200,
20,1,2558204.765849,24218.617466278374,28910.1,338,64,200,
20,2,2558205.727528,24193.59289901331,28993.0,334,60,200,
13,2,2558205.449496,24069.564416073263,29627.5,430,69,200,
26,1,2558204.496159,24489.528525155038,32705.1,562,98,200,
25,4,2558205.798094,25302.199773024768,32431.7,422,76,200,
4,5,2558205.987063,26768.177440855652,32793.6,349,57,200,
6,5,2558205.989636,27098.719188012183,32952.8,348,56,200,
23,4,2558207.394130,27579.76246671751,32280.4,269,45,200,
19,2,2558205.833873,26921.154904644936,34794.3,480,74,200,
13,3,2558206.009407,27175.328043755144,34977.5,441,74,200,
8,4,2558206.186511,27750.369518063962,35257.0,426,71,200,
