session_id,turn,start,ttft_ms,total_ms,output_chars,output_tokens,status,backend
0,1,2559345.144939,227.17697406187654,4372.1,396,65,200,
0,0,2559343.738796,185.07367419078946,6141.6,523,93,200,
0,2,2559351.815824,180.71990134194493,6895.6,609,106,200,
0,4,2559356.433342,192.82661192119122,5752.5,385,65,200,
0,3,2559356.281060,285.1584432646632,7112.3,464,78,200,
0,5,2559357.758088,210.2290838956833,6613.0,397,67,200,
0,7,2559363.124390,365.3832930140197,6051.3,339,59,200,
0,6,2559361.877842,306.8989207968116,8861.4,530,89,200,
0,8,2559371.414354,320.2796680852771,9949.3,588,101,200,
0,9,2559378.527511,333.9752918109298,8732.9,525,86,200,
0,10,2559384.517499,388.6637380346656,7243.8,444,72,200,
0,11,2559386.146298,440.5216318555176,7353.6,509,83,200,
0,12,2559401.913565,413.7428510002792,5576.1,434,71,200,
0,13,2559402.452989,449.4250458665192,6438.9,505,82,200,
0,14,2559402.963050,476.871392223984,5988.4,488,79,200,
0,15,2559407.592025,621.2410610169172,5862.2,511,83,200,
0,16,2559414.135675,274.2196200415492,7432.1,453,77,200,
0,17,2559432.228867,273.0817240662873,5812.2,520,82,200,
0,18,2559432.640522,284.44105200469494,5647.4,487,82,200,
0,19,2559441.488751,243.4216528199613,5208.4,511,81,200,
